UF,ID_MN_RESI,SEMANA,2022,NU_ANO,SEM_PRI,DATA,MUNICIPIO,REGSAUDE
AC,120001,1,13.109596224436288,2022,202201,2022-01-02,Acrelândia,Baixo Acre e Purus
AC,120001,5,13.109596224436288,2022,202205,2022-01-30,Acrelândia,Baixo Acre e Purus
AC,120001,6,0.0,2022,202206,2022-02-06,Acrelândia,Baixo Acre e Purus
AC,120005,1,175.27302143723878,2022,202201,2022-01-02,Assis Brasil,Alto Acre
AC,120005,2,67.41270055278414,2022,202202,2022-01-09,Assis Brasil,Alto Acre
AC,120005,3,161.79048132668194,2022,202203,2022-01-16,Assis Brasil,Alto Acre
AC,120005,4,40.447620331670485,2022,202204,2022-01-23,Assis Brasil,Alto Acre
AC,120005,5,26.965080221113656,2022,202205,2022-01-30,Assis Brasil,Alto Acre
AC,120005,6,26.965080221113656,2022,202206,2022-02-06,Assis Brasil,Alto Acre
AC,120005,7,94.3777807738978,2022,202207,2022-02-13,Assis Brasil,Alto Acre
AC,120005,8,121.34286099501146,2022,202208,2022-02-20,Assis Brasil,Alto Acre
AC,120005,9,121.34286099501146,2022,202209,2022-02-27,Assis Brasil,Alto Acre
AC,120005,10,121.34286099501146,2022,202210,2022-03-06,Assis Brasil,Alto Acre
AC,120005,11,53.93016044222731,2022,202211,2022-03-13,Assis Brasil,Alto Acre
AC,120005,12,148.3079412161251,2022,202212,2022-03-20,Assis Brasil,Alto Acre
AC,120005,13,53.93016044222731,2022,202213,2022-03-27,Assis Brasil,Alto Acre
AC,120005,14,13.482540110556828,2022,202214,2022-04-03,Assis Brasil,Alto Acre
AC,120005,15,80.89524066334097,2022,202215,2022-04-10,Assis Brasil,Alto Acre
AC,120005,16,107.86032088445462,2022,202216,2022-04-17,Assis Brasil,Alto Acre
AC,120005,17,40.447620331670485,2022,202217,2022-04-24,Assis Brasil,Alto Acre
AC,120005,18,26.965080221113656,2022,202218,2022-05-01,Assis Brasil,Alto Acre
AC,120010,2,7.610929294466855,2022,202202,2022-01-09,Brasiléia,Alto Acre
AC,120010,3,3.805464647233428,2022,202203,2022-01-16,Brasiléia,Alto Acre
AC,120010,4,7.610929294466855,2022,202204,2022-01-23,Brasiléia,Alto Acre
AC,120010,5,3.805464647233428,2022,202205,2022-01-30,Brasiléia,Alto Acre
AC,120010,6,3.805464647233428,2022,202206,2022-02-06,Brasiléia,Alto Acre
AC,120010,7,0.0,2022,202207,2022-02-13,Brasiléia,Alto Acre
AC,120010,8,3.805464647233428,2022,202208,2022-02-20,Brasiléia,Alto Acre
AC,120010,9,3.805464647233428,2022,202209,2022-02-27,Brasiléia,Alto Acre
AC,120010,10,0.0,2022,202210,2022-03-06,Brasiléia,Alto Acre
AC,120010,11,7.610929294466855,2022,202211,2022-03-13,Brasiléia,Alto Acre
AC,120010,14,3.805464647233428,2022,202214,2022-04-03,Brasiléia,Alto Acre
AC,120010,16,3.805464647233428,2022,202216,2022-04-17,Brasiléia,Alto Acre
AC,120010,17,3.805464647233428,2022,202217,2022-04-24,Brasiléia,Alto Acre
AC,120010,18,3.805464647233428,2022,202218,2022-05-01,Brasiléia,Alto Acre
AC,120013,2,9.74089226573154,2022,202202,2022-01-09,Bujari,Baixo Acre e Purus
AC,120013,3,0.0,2022,202203,2022-01-16,Bujari,Baixo Acre e Purus
