ID_MN_RESI,UF,REGSAUDE,NU_ANO,MASCULINO_MUN,FEMININO_MUN,MASCULINO_UF,FEMININO_UF,MASCULINO_RS,FEMININO_RS,MUNICIPIO,ANO,DATA,RAZAO_MUN,RAZAO_UF,RAZAO_RS
110001,RO,Zona da Mata,2022,13.0,20.0,3240,3647,263,286,Alta Floresta D'Oeste,2022,2022-01-01,0.65,0.8884014258294488,0.9195804195804196
110002,RO,Vale do Jamari,2022,352.0,353.0,3240,3647,632,700,Ariquemes,2022,2022-01-01,0.9971671388101983,0.8884014258294488,0.9028571428571428
110003,RO,Cone Sul,2022,10.0,13.0,3240,3647,155,179,Cabixi,2022,2022-01-01,0.7692307692307693,0.8884014258294488,0.8659217877094972
110004,RO,Café,2022,869.0,970.0,3240,3647,1134,1231,Cacoal,2022,2022-01-01,0.8958762886597939,0.8884014258294488,0.9212022745735174
110005,RO,Cone Sul,2022,10.0,3.0,3240,3647,155,179,Cerejeiras,2022,2022-01-01,3.3333333333333335,0.8884014258294488,0.8659217877094972
110006,RO,Cone Sul,2022,4.0,5.0,3240,3647,155,179,Colorado do Oeste,2022,2022-01-01,0.8,0.8884014258294488,0.8659217877094972
110007,RO,Cone Sul,2022,2.0,,3240,3647,155,179,Corumbiara,2022,2022-01-01,,0.8884014258294488,0.8659217877094972
110008,RO,Vale do Guaporé,2022,1.0,3.0,3240,3647,205,232,Costa Marques,2022,2022-01-01,0.3333333333333333,0.8884014258294488,0.8836206896551724
110009,RO,Café,2022,181.0,189.0,3240,3647,1134,1231,Espigão D'Oeste,2022,2022-01-01,0.9576719576719577,0.8884014258294488,0.9212022745735174
110010,RO,Madeira-Mamoré,2022,18.0,17.0,3240,3647,462,535,Guajará-Mirim,2022,2022-01-01,1.0588235294117647,0.8884014258294488,0.8635514018691589
110011,RO,Central,2022,52.0,63.0,3240,3647,21325,25950,Jaru,2022,2022-01-01,0.8253968253968254,0.8884014258294488,0.8217726396917149
110012,RO,Central,2022,135.0,166.0,3240,3647,21325,25950,Ji-Paraná,2022,2022-01-01,0.8132530120481928,0.8884014258294488,0.8217726396917149
110013,RO,Vale do Jamari,2022,68.0,101.0,3240,3647,632,700,Machadinho D'Oeste,2022,2022-01-01,0.6732673267326733,0.8884014258294488,0.9028571428571428
110014,RO,Zona da Mata,2022,169.0,185.0,3240,3647,263,286,Nova Brasilândia D'Oeste,2022,2022-01-01,0.9135135135135135,0.8884014258294488,0.9195804195804196
110015,RO,Central,2022,16.0,10.0,3240,3647,21325,25950,Ouro Preto do Oeste,2022,2022-01-01,1.6,0.8884014258294488,0.8217726396917149
