UF,ID_MN_RESI,SEMANA,2021,2022,NU_ANO,SEM_PRI,DATA,MUNICIPIO,REGSAUDE
AC,120001,1,72.10277923439958,0,2022,202201,,Acrelândia,Baixo Acre e Purus
AC,120001,2,144.20555846879915,0,2022,202202,,Acrelândia,Baixo Acre e Purus
AC,120001,3,117.9863660199266,0,2022,202203,,Acrelândia,Baixo Acre e Purus
AC,120001,4,163.86995280545358,0,2022,202204,,Acrelândia,Baixo Acre e Purus
AC,120001,5,163.86995280545358,0,2022,202205,,Acrelândia,Baixo Acre e Purus
AC,120001,6,52.43838489774515,0,2022,202206,,Acrelândia,Baixo Acre e Purus
AC,120001,7,52.43838489774515,0,2022,202207,,Acrelândia,Baixo Acre e Purus
AC,120001,8,32.77399056109072,0,2022,202208,,Acrelândia,Baixo Acre e Purus
AC,120001,9,26.219192448872576,0,2022,202209,,Acrelândia,Baixo Acre e Purus
AC,120001,10,58.993183009963296,0,2022,202210,,Acrelândia,Baixo Acre e Purus
AC,120001,11,45.88358678552701,0,2022,202211,,Acrelândia,Baixo Acre e Purus
AC,120001,12,45.88358678552701,0,2022,202212,,Acrelândia,Baixo Acre e Purus
AC,120001,13,19.664394336654432,0,2022,202213,,Acrelândia,Baixo Acre e Purus
AC,120001,14,26.219192448872576,0,2022,202214,,Acrelândia,Baixo Acre e Purus
AC,120001,15,26.219192448872576,0,2022,202215,,Acrelândia,Baixo Acre e Purus
AC,120001,17,32.77399056109072,0,2022,202217,,Acrelândia,Baixo Acre e Purus
AC,120001,18,6.554798112218144,0,2022,202218,,Acrelândia,Baixo Acre e Purus
AC,120001,19,13.109596224436288,0,2022,202219,,Acrelândia,Baixo Acre e Purus
AC,120001,20,6.554798112218144,0,2022,202220,,Acrelândia,Baixo Acre e Purus
AC,120001,21,6.554798112218144,0,2022,202221,,Acrelândia,Baixo Acre e Purus
AC,120001,22,13.109596224436288,0,2022,202222,,Acrelândia,Baixo Acre e Purus
AC,120001,23,6.554798112218144,0,2022,202223,,Acrelândia,Baixo Acre e Purus
AC,120001,24,6.554798112218144,0,2022,202224,,Acrelândia,Baixo Acre e Purus
AC,120001,25,6.554798112218144,0,2022,202225,,Acrelândia,Baixo Acre e Purus
AC,120001,34,6.554798112218144,0,2022,202234,,Acrelândia,Baixo Acre e Purus
AC,120001,49,6.554798112218144,0,2022,202249,,Acrelândia,Baixo Acre e Purus
AC,120001,53,19.664394336654432,0,2022,202253,,Acrelândia,Baixo Acre e Purus
AC,120005,1,215.72064176890925,0,2022,202201,,Assis Brasil,Alto Acre
AC,120005,2,377.5111230955912,0,2022,202202,,Assis Brasil,Alto Acre
AC,120005,3,256.16826210057974,0,2022,202203,,Assis Brasil,Alto Acre
AC,120005,4,148.3079412161251,0,2022,202204,,Assis Brasil,Alto Acre
AC,120005,5,107.86032088445462,0,2022,202205,,Assis Brasil,Alto Acre
AC,120005,6,175.27302143723878,0,2022,202206,,Assis Brasil,Alto Acre
AC,120005,7,94.3777807738978,0,2022,202207,,Assis Brasil,Alto Acre
AC,120005,8,80.89524066334097,0,2022,202208,,Assis Brasil,Alto Acre
AC,120005,9,242.68572199002293,0,2022,202209,,Assis Brasil,Alto Acre
AC,120005,10,148.3079412161251,0,2022,202210,,Assis Brasil,Alto Acre
AC,120005,11,148.3079412161251,0,2022,202211,,Assis Brasil,Alto Acre
AC,120005,12,121.34286099501146,0,2022,202212,,Assis Brasil,Alto Acre
AC,120005,13,161.79048132668194,0,2022,202213,,Assis Brasil,Alto Acre
AC,120005,14,94.3777807738978,0,2022,202214,,Assis Brasil,Alto Acre
AC,120005,15,94.3777807738978,0,2022,202215,,Assis Brasil,Alto Acre
AC,120005,16,215.72064176890925,0,2022,202216,,Assis Brasil,Alto Acre
AC,120005,17,94.3777807738978,0,2022,202217,,Assis Brasil,Alto Acre
AC,120005,18,94.3777807738978,0,2022,202218,,Assis Brasil,Alto Acre
AC,120005,19,121.34286099501146,0,2022,202219,,Assis Brasil,Alto Acre
AC,120005,20,26.965080221113656,0,2022,202220,,Assis Brasil,Alto Acre
AC,120005,21,67.41270055278414,0,2022,202221,,Assis Brasil,Alto Acre
AC,120005,22,26.965080221113656,0,2022,202222,,Assis Brasil,Alto Acre
AC,120005,23,53.93016044222731,0,2022,202223,,Assis Brasil,Alto Acre
AC,120005,25,13.482540110556828,0,2022,202225,,Assis Brasil,Alto Acre
AC,120005,27,13.482540110556828,0,2022,202227,,Assis Brasil,Alto Acre
AC,120005,28,13.482540110556828,0,2022,202228,,Assis Brasil,Alto Acre
AC,120005,29,13.482540110556828,0,2022,202229,,Assis Brasil,Alto Acre
AC,120005,30,26.965080221113656,0,2022,202230,,Assis Brasil,Alto Acre
