ID_MN_RESI,UF,REGSAUDE,NU_ANO,MASCULINO_MUN,FEMININO_MUN,MASCULINO_UF,FEMININO_UF,MASCULINO_RS,FEMININO_RS,MUNICIPIO,ANO,DATA,RAZAO_MUN,RAZAO_UF,RAZAO_RS
110001,RO,Zona da Mata,2021,2.0,2.0,1046.0,1179.0,82.0,106.0,Alta Floresta D'Oeste,2021,2021-01-01,1.0,0.8871925360474979,0.7735849056603774
110002,RO,Vale do Jamari,2021,27.0,23.0,1046.0,1179.0,330.0,318.0,Ariquemes,2021,2021-01-01,1.173913043478261,0.8871925360474979,1.0377358490566038
110003,RO,Cone Sul,2021,,1.0,1046.0,1179.0,100.0,117.0,Cabixi,2021,2021-01-01,,0.8871925360474979,0.8547008547008547
110004,RO,Café,2021,75.0,119.0,1046.0,1179.0,141.0,201.0,Cacoal,2021,2021-01-01,0.6302521008403361,0.8871925360474979,0.7014925373134329
110005,RO,Cone Sul,2021,2.0,3.0,1046.0,1179.0,100.0,117.0,Cerejeiras,2021,2021-01-01,0.6666666666666666,0.8871925360474979,0.8547008547008547
110006,RO,Cone Sul,2021,1.0,5.0,1046.0,1179.0,100.0,117.0,Colorado do Oeste,2021,2021-01-01,0.2,0.8871925360474979,0.8547008547008547
110007,RO,Cone Sul,2021,,2.0,1046.0,1179.0,100.0,117.0,Corumbiara,2021,2021-01-01,,0.8871925360474979,0.8547008547008547
110008,RO,Vale do Guaporé,2021,16.0,17.0,1046.0,1179.0,95.0,112.0,Costa Marques,2021,2021-01-01,0.9411764705882353,0.8871925360474979,0.8482142857142857
110009,RO,Café,2021,9.0,14.0,1046.0,1179.0,141.0,201.0,Espigão D'Oeste,2021,2021-01-01,0.6428571428571429,0.8871925360474979,0.7014925373134329
110010,RO,Madeira-Mamoré,2021,28.0,44.0,1046.0,1179.0,187.0,202.0,Guajará-Mirim,2021,2021-01-01,0.6363636363636364,0.8871925360474979,0.9257425742574258
110011,RO,Central,2021,21.0,22.0,1046.0,1179.0,5877.0,6280.0,Jaru,2021,2021-01-01,0.9545454545454546,0.8871925360474979,0.935828025477707
110012,RO,Central,2021,42.0,37.0,1046.0,1179.0,5877.0,6280.0,Ji-Paraná,2021,2021-01-01,1.135135135135135,0.8871925360474979,0.935828025477707
110013,RO,Vale do Jamari,2021,10.0,10.0,1046.0,1179.0,330.0,318.0,Machadinho D'Oeste,2021,2021-01-01,1.0,0.8871925360474979,1.0377358490566038
110014,RO,Zona da Mata,2021,18.0,13.0,1046.0,1179.0,82.0,106.0,Nova Brasilândia D'Oeste,2021,2021-01-01,1.3846153846153846,0.8871925360474979,0.7735849056603774
110015,RO,Central,2021,2.0,6.0,1046.0,1179.0,5877.0,6280.0,Ouro Preto do Oeste,2021,2021-01-01,0.3333333333333333,0.8871925360474979,0.935828025477707
110018,RO,Café,2021,24.0,27.0,1046.0,1179.0,141.0,201.0,Pimenta Bueno,2021,2021-01-01,0.8888888888888888,0.8871925360474979,0.7014925373134329
110020,RO,Madeira-Mamoré,2021,109.0,121.0,1046.0,1179.0,187.0,202.0,Porto Velho,2021,2021-01-01,0.9008264462809917,0.8871925360474979,0.9257425742574258
110025,RO,Central,2021,11.0,14.0,1046.0,1179.0,5877.0,6280.0,Presidente Médici,2021,2021-01-01,0.7857142857142857,0.8871925360474979,0.935828025477707
110026,RO,Vale do Jamari,2021,2.0,1.0,1046.0,1179.0,330.0,318.0,Rio Crespo,2021,2021-01-01,2.0,0.8871925360474979,1.0377358490566038
110028,RO,Zona da Mata,2021,8.0,11.0,1046.0,1179.0,82.0,106.0,Rolim de Moura,2021,2021-01-01,0.7272727272727273,0.8871925360474979,0.7735849056603774
110029,RO,Zona da Mata,2021,5.0,7.0,1046.0,1179.0,82.0,106.0,Santa Luzia D'Oeste,2021,2021-01-01,0.7142857142857143,0.8871925360474979,0.7735849056603774
110030,RO,Cone Sul,2021,61.0,45.0,1046.0,1179.0,100.0,117.0,Vilhena,2021,2021-01-01,1.3555555555555556,0.8871925360474979,0.8547008547008547
110032,RO,Central,2021,19.0,21.0,1046.0,1179.0,5877.0,6280.0,São Miguel do Guaporé,2021,2021-01-01,0.9047619047619048,0.8871925360474979,0.935828025477707
110033,RO,Madeira-Mamoré,2021,6.0,6.0,1046.0,1179.0,187.0,202.0,Nova Mamoré,2021,2021-01-01,1.0,0.8871925360474979,0.9257425742574258
110034,RO,Central,2021,,1.0,1046.0,1179.0,5877.0,6280.0,Alvorada D'Oeste,2021,2021-01-01,,0.8871925360474979,0.935828025477707
110037,RO,Zona da Mata,2021,11.0,6.0,1046.0,1179.0,82.0,106.0,Alto Alegre dos Parecis,2021,2021-01-01,1.8333333333333333,0.8871925360474979,0.7735849056603774
110040,RO,Vale do Jamari,2021,17.0,11.0,1046.0,1179.0,330.0,318.0,Alto Paraíso,2021,2021-01-01,1.5454545454545454,0.8871925360474979,1.0377358490566038
110045,RO,Vale do Jamari,2021,125.0,102.0,1046.0,1179.0,330.0,318.0,Buritis,2021,2021-01-01,1.2254901960784315,0.8871925360474979,1.0377358490566038
110045,RO,Vale do Jamari,2022,1.0,1.0,1.0,1.0,1.0,1.0,Buritis,2022,2022-01-01,1.0,1.0,1.0
110050,RO,Zona da Mata,2021,3.0,11.0,1046.0,1179.0,82.0,106.0,Novo Horizonte do Oeste,2021,2021-01-01,0.2727272727272727,0.8871925360474979,0.7735849056603774
110060,RO,Vale do Jamari,2021,3.0,3.0,1046.0,1179.0,330.0,318.0,Cacaulândia,2021,2021-01-01,1.0,0.8871925360474979,1.0377358490566038
110070,RO,Vale do Jamari,2021,40.0,29.0,1046.0,1179.0,330.0,318.0,Campo Novo de Rondônia,2021,2021-01-01,1.3793103448275863,0.8871925360474979,1.0377358490566038
110080,RO,Madeira-Mamoré,2021,10.0,5.0,1046.0,1179.0,187.0,202.0,Candeias do Jamari,2021,2021-01-01,2.0,0.8871925360474979,0.9257425742574258
